outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,supported_by_n,primary_consensus_class,grouped_evaluable_representations,primary_crossings_evaluable,primary_crossings_retained,grouped_crossings_n,complete_primary_retention,any_primary_retention,median_grouped_minus_matched_effect,sample_size_maturity,tss_retention_class,internal_robustness_class,grouped_job_id,n_codes,requested_outer_folds,realized_outer_folds,outer_test_n_min,outer_test_n_max,outer_training_n_min,outer_test_codes_min,outer_training_codes_min,outer_test_positive_min,outer_test_negative_min,outer_training_positive_min,outer_training_negative_min,single_class_outer_test_folds,any_single_class_outer_test_fold,inner_folds_realized_min,inner_folds_realized_max,inner_validation_n_min,inner_training_n_min,inner_validation_codes_min,inner_training_codes_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,grouped_fold_adequacy_flag,any_single_class_inner_training_fold,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction,deprecated_r1_r4_uses_flagged_grouped_result
continuous,rna_pathway_activity,MSigDB Hallmark,PRAD,HALLMARK_ESTROGEN_RESPONSE_EARLY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,369,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.000846647555227897,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,600,26,5,5,19,142,227,5,20,,,,,,,5,5,8,129,4,16,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,PRAD,HALLMARK_G2M_CHECKPOINT,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,369,,,3,all three,3,3,0,0,FALSE,FALSE,-0.0750800290183481,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,601,26,5,5,37,114,255,5,20,,,,,,,5,5,11,135,4,16,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,PRAD,HALLMARK_IL2_STAT5_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,369,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0531832480122746,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,602,26,5,5,29,144,225,5,20,,,,,,,5,5,12,145,4,16,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,PRAD,HALLMARK_KRAS_SIGNALING_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,369,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0739600538692858,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,603,26,5,5,17,138,231,5,20,,,,,,,5,5,8,143,4,16,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,PRAD,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,369,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0490499288787049,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,604,26,5,5,41,176,193,5,20,,,,,,,5,5,7,134,4,16,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,PRAD,HALLMARK_UV_RESPONSE_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,369,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.367677198340196,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,605,26,5,5,30,123,246,5,20,,,,,,,5,5,8,107,4,16,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,READ,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,146,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.298717050790673,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,606,13,5,5,2,84,62,2,10,,,,,,,5,5,2,34,2,8,,,,,,,sparse grouped folds,,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
continuous,rna_pathway_activity,MSigDB Hallmark,READ,HALLMARK_MYOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,146,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.235956884305602,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,607,13,5,5,15,69,77,2,10,,,,,,,5,5,4,40,2,8,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,vitamin B6 metabolism,SARC,GOBP_VITAMIN_B6_METABOLIC_PROCESS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,2,exactly two,3,2,2,2,TRUE,TRUE,0.0398845495770311,TRUE,complete retention,"R2: multi-representation, mature, complete grouped retention",608,34,5,5,21,144,108,6,27,,,,,,,5,5,10,80,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_ADIPOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,1,1,TRUE,TRUE,0.0616075803844134,TRUE,complete retention,R3: mature with partial or single-representation retention,609,34,5,5,19,138,114,6,27,,,,,,,5,5,8,69,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_ALLOGRAFT_REJECTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,3,3,TRUE,TRUE,-0.0527623083384087,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",610,34,5,5,22,140,112,6,27,,,,,,,5,5,14,79,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,3,3,TRUE,TRUE,-0.017064588086473,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",611,34,5,5,23,134,118,6,27,,,,,,,5,5,12,71,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_APOPTOSIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,2,exactly two,3,2,0,0,FALSE,FALSE,-0.17571224332849,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,612,34,5,5,22,148,104,6,27,,,,,,,5,5,10,76,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_COAGULATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,1,1,FALSE,TRUE,-0.0792425330860193,TRUE,partial retention,R3: mature with partial or single-representation retention,613,34,5,5,15,138,114,6,27,,,,,,,5,5,11,70,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_COMPLEMENT,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,3,3,TRUE,TRUE,-0.0317536532131342,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",614,34,5,5,11,145,107,6,27,,,,,,,5,5,10,76,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_E2F_TARGETS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,1,1,TRUE,TRUE,-0.0463327067786794,TRUE,complete retention,R3: mature with partial or single-representation retention,615,34,5,5,14,146,106,6,27,,,,,,,5,5,9,68,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,2,2,FALSE,TRUE,-0.0499151600792767,TRUE,partial retention,R3: mature with partial or single-representation retention,616,34,5,5,21,143,109,6,27,,,,,,,5,5,13,81,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_G2M_CHECKPOINT,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,1,1,TRUE,TRUE,-0.172576354456942,TRUE,complete retention,R3: mature with partial or single-representation retention,617,34,5,5,19,148,104,6,27,,,,,,,5,5,11,78,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_IL2_STAT5_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,2,2,FALSE,TRUE,-0.020919121795,TRUE,partial retention,R3: mature with partial or single-representation retention,618,34,5,5,15,146,106,6,27,,,,,,,5,5,10,80,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_IL6_JAK_STAT3_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,2,2,FALSE,TRUE,-0.070702309254796,TRUE,partial retention,R3: mature with partial or single-representation retention,619,34,5,5,14,153,99,6,27,,,,,,,5,5,8,76,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_INFLAMMATORY_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,3,3,TRUE,TRUE,-0.0708212287457818,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",620,34,5,5,20,133,119,6,27,,,,,,,5,5,8,79,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_INTERFERON_ALPHA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,2,exactly two,3,2,1,1,FALSE,TRUE,-0.0698753999318236,TRUE,partial retention,R3: mature with partial or single-representation retention,621,34,5,5,17,146,106,6,27,,,,,,,5,5,11,70,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_INTERFERON_GAMMA_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,3,3,TRUE,TRUE,-0.0401845739448216,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",622,34,5,5,14,159,93,6,27,,,,,,,5,5,8,62,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_KRAS_SIGNALING_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,1,1,FALSE,TRUE,-0.00600469117938263,TRUE,partial retention,R3: mature with partial or single-representation retention,623,34,5,5,20,138,114,6,27,,,,,,,5,5,10,77,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_MTORC1_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,1,1,TRUE,TRUE,-0.0364459378650398,TRUE,complete retention,R3: mature with partial or single-representation retention,624,34,5,5,16,150,102,6,27,,,,,,,5,5,11,68,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_MYC_TARGETS_V1,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,1,1,TRUE,TRUE,-0.0241970155244252,TRUE,complete retention,R3: mature with partial or single-representation retention,625,34,5,5,21,140,112,6,27,,,,,,,5,5,11,75,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_MYC_TARGETS_V2,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,3,all three,3,3,0,0,FALSE,FALSE,-0.227342670538902,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,626,34,5,5,19,145,107,6,27,,,,,,,5,5,12,65,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,0,0,FALSE,FALSE,0.0419754162659214,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,627,34,5,5,20,129,123,6,27,,,,,,,5,5,10,76,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,0,0,FALSE,FALSE,0.0298370192769986,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,628,34,5,5,18,139,113,6,27,,,,,,,5,5,12,83,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,2,exactly two,3,2,1,1,FALSE,TRUE,-0.0529676275579507,TRUE,partial retention,R3: mature with partial or single-representation retention,629,34,5,5,13,142,110,6,27,,,,,,,5,5,12,67,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_TNFA_SIGNALING_VIA_NFKB,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,2,exactly two,3,2,0,0,FALSE,FALSE,-0.138984178947541,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,630,34,5,5,23,137,115,6,27,,,,,,,5,5,12,72,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,2,exactly two,3,2,1,1,FALSE,TRUE,-0.003165665482605,TRUE,partial retention,R3: mature with partial or single-representation retention,631,34,5,5,22,140,112,6,27,,,,,,,5,5,10,82,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SARC,HALLMARK_WNT_BETA_CATENIN_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,252,,,1,representation specific,3,1,1,1,TRUE,TRUE,0.0529823654596751,TRUE,complete retention,R3: mature with partial or single-representation retention,632,34,5,5,17,146,106,6,27,,,,,,,5,5,16,82,5,21,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,SKCM,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,97,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.00330173829044089,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,633,15,5,5,4,64,33,3,12,,,,,,,5,5,2,22,2,9,,,,,,,sparse grouped folds,,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
continuous,rna_pathway_activity,MSigDB Hallmark,STAD,HALLMARK_ALLOGRAFT_REJECTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,348,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.111224309577293,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,634,22,5,5,19,110,238,4,17,,,,,,,5,5,3,94,3,13,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,STAD,HALLMARK_APICAL_JUNCTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,348,,,2,exactly two,3,2,0,0,FALSE,FALSE,-0.075392096905594,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,635,22,5,5,44,107,241,4,17,,,,,,,5,5,5,116,3,13,,,,,,,no audit trigger,,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
continuous,rna_pathway_activity,MSigDB Hallmark,STAD,HALLMARK_CHOLESTEROL_HOMEOSTASIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,348,,,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0622191282364599,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,636,22,5,5,5,181,167,4,17,,,,,,,5,5,3,120,3,13,,,,,,,sparse grouped folds,,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
